Synthase,Length (aa),Architecture,Classification
RDH31037.1,1331,KS-AT-DH,PKS|Type I|Partially-reducing
RDH30314.1,2210,KS-AT-DH-ER-KR-ACP,PKS|Type I|Highly-reducing
RDH30064.1,428,KS,Fatty acid synthase
RDH29873.1,3928,KS-AT-DH-MT-KR-ACP-C-A-T-R,Hybrid PKS-NRPS
RDH29102.1,2432,KS-AT-DH-MT-ER-KR-ACP,PKS|Type I|Highly-reducing
RDH28888.1,2595,KS-AT-DH-MT-ER-KR-ACP,PKS|Type I|Highly-reducing
RDH28860.1,2121,SAT-KS-AT-PT-ACP-ACP-TE,PKS|Type I|Non-reducing
RDH28729.1,419,KS,Thiolase
RDH28698.1,426,KS,Thiolase
RDH28640.1,2257,KS-AT-DH-ER-KR-ACP,PKS|Type I|Highly-reducing
RDH28522.1,2154,SAT-KS-AT-PT-ACP-TR,PKS|Type I|Non-reducing
RDH28457.1,413,KS,Thiolase
RDH28113.1,399,KS,Thiolase
RDH28067.1,2641,KS-AT-DH-MT-ER-KR-ACP,PKS|Type I|Highly-reducing
RDH27595.1,2659,SAT-KS-AT-PT-ACP-ACP-MT-TR,PKS|Type I|Non-reducing
RDH26878.1,2632,KR-KS-AT-PT-ACP-ACP-MT-TE,PKS|Type I|Non-reducing
RDH25921.1,3551,KS-AT-DH-MT-KR-ACP-C-A-T,Hybrid PKS-NRPS
RDH25681.1,2630,A-T-KS-AT-ACP,Hybrid PKS-NRPS
RDH25203.1,421,KS,Thiolase
RDH24974.1,2473,KS-AT-DH-MT-ER-KR-ACP,PKS|Type I|Highly-reducing
RDH24362.1,3928,KS-AT-DH-MT-KR-ACP-C-A-T-R,Hybrid PKS-NRPS
RDH24327.1,2249,KS-AT-DH-ER-KR-ACP,PKS|Type I|Highly-reducing
RDH24286.1,426,KS,Thiolase
RDH24171.1,413,KS,Thiolase
RDH22954.1,2440,KS-AT-DH-MT-ER-KR-ACP,PKS|Type I|Highly-reducing
RDH22877.1,2142,SAT-KS-AT-PT-ACP-ACP-TE,PKS|Type I|Non-reducing
RDH22852.1,2564,KS-AT-DH-MT-ER-KR-ACP,PKS|Type I|Highly-reducing
RDH22483.1,2625,KS-AT-DH-MT-ER-KR-ACP,PKS|Type I|Highly-reducing
RDH22315.1,2475,KS-AT-DH-MT-ER-KR-ACP,PKS|Type I|Highly-reducing
RDH22077.1,2554,KS-AT-DH-MT-ER-KR-ACP,PKS|Type I|Highly-reducing
RDH21740.1,2237,KS-AT-DH-ER-KR-ACP,PKS|Type I|Highly-reducing
RDH21347.1,2748,KS-AT-DH-MT-ER-KR-ACP,PKS|Type I|Highly-reducing
RDH21314.1,2341,KS-AT-DH-ER-KR-ACP,PKS|Type I|Highly-reducing
RDH21218.1,2483,KS-AT-DH-MT-ER-KR-ACP,PKS|Type I|Highly-reducing
RDH21186.1,2418,KS-AT-DH-ER-KR-ACP,PKS|Type I|Highly-reducing
RDH21184.1,2557,KS-AT-DH-MT-ER-KR-ACP,PKS|Type I|Highly-reducing
RDH21092.1,458,KS,Thiolase
RDH20701.1,2518,KS-AT-PT-ACP-MT-TR,PKS|Type I|Non-reducing
RDH20648.1,2879,KS-AT-DH-MT-ER-KR-ACP-TR,PKS|Type I|Highly-reducing
RDH20643.1,2352,KS-AT-DH-ER-KR-ACP,PKS|Type I|Highly-reducing
RDH20275.1,2463,KS-AT-DH-MT-KR-ACP,PKS|Type I|Partially-reducing
RDH20171.1,419,KS,Thiolase
RDH20009.1,3828,KS-AT-DH-MT-KR-ACP-C-A-T-R,Hybrid PKS-NRPS
RDH19784.1,2348,KS-AT-DH-ER-KR-ACP,PKS|Type I|Highly-reducing
RDH19537.1,2134,SAT-KS-AT-PT-ACP-TR,PKS|Type I|Non-reducing
RDH19101.1,418,KS,Thiolase
RDH18991.1,2454,KS-AT-DH-MT-ER-KR-ACP,PKS|Type I|Highly-reducing
RDH18947.1,2617,SAT-KS-AT-PT-ACP-MT-TR,PKS|Type I|Non-reducing
RDH18940.1,2558,KS-AT-DH-MT-ER-KR-ACP,PKS|Type I|Highly-reducing
RDH18927.1,2620,KR-KS-AT-PT-ACP-ACP-MT-TE,PKS|Type I|Non-reducing
RDH18314.1,3941,KS-AT-DH-MT-KR-ACP-C-A-T-R,Hybrid PKS-NRPS
RDH17442.1,2478,KS-AT-DH-MT-KR-ACP,PKS|Type I|Partially-reducing
RDH16785.1,1269,KS-AT-DH,PKS|Type I|Partially-reducing
RDH16453.1,1793,SAT-KS-AT-PT-ACP,PKS|Type I|Non-reducing
RDH16088.1,2304,KS-AT-DH-ER-KR-ACP,PKS|Type I|Highly-reducing
RDH16086.1,2527,KS-AT-DH-MT-ER-KR-ACP,PKS|Type I|Highly-reducing
RDH15901.1,3889,KS-AT-DH-ER-KR-ACP-C-A-T-R,Hybrid PKS-NRPS
RDH15815.1,2471,KS-AT-DH-MT-ER-KR-ACP,PKS|Type I|Highly-reducing
RDH15781.1,2153,SAT-KS-AT-PT-ACP-ACP-TE,PKS|Type I|Non-reducing
RDH15442.1,1663,SAT-KS-AT-PT-ACP,PKS|Type I|Non-reducing
RDH15400.1,2641,KS-AT-DH-MT-ER-KR-ACP,PKS|Type I|Highly-reducing
RDH15162.1,1779,KS-AT-DH-KR-ACP,PKS|Type I|Partially-reducing
RDH15150.1,3776,KS-AT-DH-KR-ACP-C-A-T-R,Hybrid PKS-NRPS
RDH15004.1,2635,KS-AT-DH-MT-ER-KR-ACP,PKS|Type I|Highly-reducing
RDH14837.1,3877,KS-AT-DH-MT-KR-ACP-C-A-T-R,Hybrid PKS-NRPS
RDH14766.1,399,KS,Thiolase
RDH14458.1,3860,KS-AT-DH-ER-KR-ACP-C-A-T-R,Hybrid PKS-NRPS
RDH14427.1,2462,KS-AT-DH-MT-ER-KR-ACP,PKS|Type I|Highly-reducing
RDH14393.1,428,KS,Fatty acid synthase
RAQ81064.1,413,KS,Thiolase
RAQ80178.1,399,KS,Thiolase
RAQ79928.1,2551,KS-AT-DH-MT-ER-KR-ACP,PKS|Type I|Highly-reducing
RAQ79701.1,2420,KS-AT-DH-MT-KR-ACP,PKS|Type I|Partially-reducing
RAQ79658.1,3925,KS-AT-DH-MT-KR-ACP-C-A-T-R,Hybrid PKS-NRPS
RAQ79508.1,2045,SAT-KS-AT-PT-ACP-TE,PKS|Type I|Non-reducing
RAQ79131.1,2571,SAT-KS-AT-PT-ACP-MT-TR,PKS|Type I|Non-reducing
RAQ79095.1,2104,SAT-KS-AT-PT-ACP-ACP-TE,PKS|Type I|Non-reducing
RAQ79015.1,2619,KS-AT-DH-MT-ER-KR-ACP,PKS|Type I|Highly-reducing
RAQ78938.1,419,KS,Thiolase
RAQ78402.1,2385,KS-AT-DH-ER-KR-ACP,PKS|Type I|Highly-reducing
RAQ78023.1,2141,SAT-KS-AT-PT-ACP-ACP-TE,PKS|Type I|Non-reducing
RAQ77358.1,2550,KS-AT-DH-MT-ER-KR-ACP,PKS|Type I|Highly-reducing
RAQ77144.1,399,KS,Thiolase
RAQ77082.1,3880,KS-AT-DH-MT-KR-ACP-C-A-T-R,Hybrid PKS-NRPS
RAQ76951.1,432,KS,Thiolase
RAQ76869.1,2374,KS-AT-DH-ER-KR-ACP,PKS|Type I|Highly-reducing
RAQ76855.1,1625,AT-KR-KS,Fatty acid synthase
RAQ76415.1,416,KS,Thiolase
RAQ75644.1,2528,KS-AT-DH-MT-ER-KR-ACP,PKS|Type I|Highly-reducing
RAQ75642.1,2245,SAT-KS-AT-PT-ACP-TR,PKS|Type I|Non-reducing
RAQ75459.1,387,KS,PKS|Type III
RAQ75400.1,2555,KS-AT-DH-MT-ER-KR-ACP,PKS|Type I|Highly-reducing
RAQ75262.1,1890,SAT-KS-AT-PT-ACP,PKS|Type I|Non-reducing
RAQ74681.1,426,KS,Fatty acid synthase
RAQ74496.1,2411,KS-AT-DH-MT-KR-ACP,PKS|Type I|Partially-reducing
RAQ73532.1,2411,KS-AT-DH-MT-KR-ACP,PKS|Type I|Partially-reducing
RAQ73210.1,2512,KS-AT-DH-MT-ER-KR-ACP,PKS|Type I|Highly-reducing
RAQ72362.1,432,KS,Thiolase
RAQ72091.1,2555,KS-AT-DH-MT-ER-KR-ACP,PKS|Type I|Highly-reducing
RAQ72078.1,459,KS,Thiolase
RAQ71815.1,416,KS,Thiolase
RAQ71384.1,2512,KS-AT-DH-MT-ER-KR-ACP,PKS|Type I|Highly-reducing
RAQ71327.1,2045,SAT-KS-AT-PT-ACP-TE,PKS|Type I|Non-reducing
RAQ71072.1,3917,KS-AT-DH-ER-KR-ACP-C-A-T-R,Hybrid PKS-NRPS
RAQ70542.1,2116,SAT-KS-AT-PT-ACP-ACP-TE,PKS|Type I|Non-reducing
RAQ70420.1,458,KS,Thiolase
RAQ70399.1,1755,SAT-KS-AT-PT-ACP,PKS|Type I|Non-reducing
RAQ69792.1,2570,KS-AT-DH-MT-ER-KR-ACP,PKS|Type I|Highly-reducing
RAQ69699.1,2586,SAT-KS-AT-PT-ACP-MT-TR,PKS|Type I|Non-reducing
RAQ69593.1,426,KS,Fatty acid synthase
RAQ69538.1,2488,KS-AT-DH-MT-ER-KR-ACP,PKS|Type I|Highly-reducing
RAQ69397.1,3917,KS-AT-DH-ER-KR-ACP-C-A-T-R,Hybrid PKS-NRPS
RAQ69108.1,754,KS,PKS
RAQ68698.1,2091,SAT-KS-AT-PT-ACP-TE,PKS|Type I|Non-reducing
RAQ68604.1,2562,KR-KS-AT-PT-ACP-ACP-MT-TE,PKS|Type I|Non-reducing
RAQ68308.1,2420,KS-AT-DH-MT-KR-ACP,PKS|Type I|Partially-reducing
RAQ68257.1,3925,KS-AT-DH-MT-KR-ACP-C-A-T-R,Hybrid PKS-NRPS
RAQ68107.1,2431,KS-AT-DH-MT-ER-KR-ACP,PKS|Type I|Highly-reducing
RAQ68045.1,413,KS,Thiolase
RAQ67556.1,1890,SAT-KS-AT-PT-ACP,PKS|Type I|Non-reducing
RAQ67446.1,2528,KS-AT-DH-MT-ER-KR-ACP,PKS|Type I|Highly-reducing
RAQ67269.1,2245,SAT-KS-AT-PT-ACP-TR,PKS|Type I|Non-reducing
RAQ66851.1,2551,KS-AT-DH-MT-ER-KR-ACP,PKS|Type I|Highly-reducing
RAQ66796.1,2481,KR-KS-AT-PT-ACP-ACP-MT-TE,PKS|Type I|Non-reducing
RAQ66698.1,2895,KS-AT-DH-MT-ER-KR-ACP-TR,PKS|Type I|Highly-reducing
RAQ66320.1,458,KS,Thiolase
RAQ65722.1,2570,KS-AT-DH-MT-ER-KR-ACP,PKS|Type I|Highly-reducing
RAQ65120.1,421,KS,Thiolase
RAQ64826.1,387,KS,PKS|Type III
RAQ64406.1,1761,KS-AT-DH-KR-ACP,PKS|Type I|Partially-reducing
RAQ64091.1,419,KS,Thiolase
RAQ63397.1,2895,KS-AT-DH-MT-ER-KR-ACP-TR,PKS|Type I|Highly-reducing
RAQ62399.1,3890,KS-AT-DH-MT-KR-ACP-C-A-T-R,Hybrid PKS-NRPS
RAQ62383.1,2460,KS-AT-DH-MT-ER-KR-ACP,PKS|Type I|Highly-reducing
RAQ62377.1,2253,SAT-KS-AT-PT-ACP-MT,PKS|Type I|Non-reducing
RAQ62037.1,2104,SAT-KS-AT-PT-ACP-ACP-TE,PKS|Type I|Non-reducing
RAQ62007.1,2571,SAT-KS-AT-PT-ACP-MT-TR,PKS|Type I|Non-reducing
RAQ61850.1,1755,SAT-KS-AT-PT-ACP,PKS|Type I|Non-reducing
RAQ61170.1,3880,KS-AT-DH-MT-KR-ACP-C-A-T-R,Hybrid PKS-NRPS
RAQ60864.1,1527,KS-AT-DH-MT,PKS|Type I|Partially-reducing
RAQ60761.1,2586,SAT-KS-AT-PT-ACP-MT-TR,PKS|Type I|Non-reducing
RAQ60072.1,2374,KS-AT-DH-ER-KR-ACP,PKS|Type I|Highly-reducing
RAQ59911.1,1625,AT-KR-KS,Fatty acid synthase
RAQ59607.1,2619,KS-AT-DH-MT-ER-KR-ACP,PKS|Type I|Highly-reducing
RAQ59394.1,2568,KS-AT-DH-MT-ER-KR-ACP,PKS|Type I|Highly-reducing
RAQ58766.1,2141,SAT-KS-AT-PT-ACP-ACP-TE,PKS|Type I|Non-reducing
RAQ58440.1,458,KS,Thiolase
RAQ58328.1,2116,SAT-KS-AT-PT-ACP-ACP-TE,PKS|Type I|Non-reducing
RAQ57803.1,2450,KS-AT-DH-MT-ER-KR-ACP,PKS|Type I|Highly-reducing
RAQ57542.1,2253,SAT-KS-AT-PT-ACP-MT,PKS|Type I|Non-reducing
RAQ57540.1,2460,KS-AT-DH-MT-ER-KR-ACP,PKS|Type I|Highly-reducing
RAQ57273.1,1761,KS-AT-DH-KR-ACP,PKS|Type I|Partially-reducing
RAQ57031.1,2091,SAT-KS-AT-PT-ACP-TE,PKS|Type I|Non-reducing
RAQ57019.1,3878,KS-AT-DH-MT-KR-ACP-C-A-T-R,Hybrid PKS-NRPS
RAQ56929.1,2385,KS-AT-DH-ER-KR-ACP,PKS|Type I|Highly-reducing
RAQ55953.1,421,KS,Thiolase
RAQ55877.1,754,KS,PKS
RAQ54773.1,3880,KS-AT-DH-MT-KR-ACP-C-A-T-R,Hybrid PKS-NRPS
RAQ54511.1,399,KS,Thiolase
RAQ54439.1,432,KS,Thiolase
RAQ54171.1,459,KS,Thiolase
RAQ53755.1,2420,KS-AT-DH-MT-KR-ACP,PKS|Type I|Partially-reducing
RAQ53731.1,3925,KS-AT-DH-MT-KR-ACP-C-A-T-R,Hybrid PKS-NRPS
RAQ52799.1,2411,KS-AT-DH-MT-KR-ACP,PKS|Type I|Partially-reducing
RAQ52288.1,2141,SAT-KS-AT-PT-ACP-ACP-TE,PKS|Type I|Non-reducing
RAQ52167.1,387,KS,PKS|Type III
RAQ51948.1,2568,KS-AT-DH-MT-ER-KR-ACP,PKS|Type I|Highly-reducing
RAQ51342.1,1625,AT-KR-KS,Fatty acid synthase
RAQ51234.1,2374,KS-AT-DH-ER-KR-ACP,PKS|Type I|Highly-reducing
RAQ50778.1,2649,KR-KS-AT-PT-ACP-ACP-MT-TE,PKS|Type I|Non-reducing
RAQ50662.1,2895,KS-AT-DH-MT-ER-KR-ACP-TR,PKS|Type I|Highly-reducing
RAQ50551.1,2558,KS-AT-DH-MT-ER-KR-ACP,PKS|Type I|Highly-reducing
RAQ50209.1,2528,KS-AT-DH-MT-ER-KR-ACP,PKS|Type I|Highly-reducing
RAQ50205.1,2239,SAT-KS-AT-PT-ACP-TR,PKS|Type I|Non-reducing
RAQ50126.1,426,KS,Fatty acid synthase
RAQ50015.1,2116,SAT-KS-AT-PT-ACP-ACP-TE,PKS|Type I|Non-reducing
RAQ49404.1,2045,SAT-KS-AT-PT-ACP-TE,PKS|Type I|Non-reducing
RAQ49291.1,2512,KS-AT-DH-MT-ER-KR-ACP,PKS|Type I|Highly-reducing
RAQ48766.1,413,KS,Thiolase
RAQ47653.1,1761,KS-AT-DH-KR-ACP,PKS|Type I|Partially-reducing
RAQ47409.1,2385,KS-AT-DH-ER-KR-ACP,PKS|Type I|Highly-reducing
RAQ47306.1,2641,KS-AT-DH-MT-ER-KR-ACP,PKS|Type I|Highly-reducing
RAQ46126.1,421,KS,Thiolase
RAQ46047.1,416,KS,Thiolase
RAQ45661.1,2571,SAT-KS-AT-PT-ACP-MT-TR,PKS|Type I|Non-reducing
RAQ45582.1,2443,KS-AT-DH-MT-ER-KR-ACP,PKS|Type I|Highly-reducing
RAQ45530.1,2104,SAT-KS-AT-PT-ACP-ACP-TE,PKS|Type I|Non-reducing
RAQ45428.1,2253,SAT-KS-AT-PT-ACP-MT,PKS|Type I|Non-reducing
RAQ44274.1,458,KS,Thiolase
RAQ44124.1,2586,SAT-KS-AT-PT-ACP-MT-TR,PKS|Type I|Non-reducing
RAQ44063.1,2472,KS-AT-DH-MT-ER-KR-ACP,PKS|Type I|Highly-reducing
RAQ43194.1,2570,KS-AT-DH-MT-ER-KR-ACP,PKS|Type I|Highly-reducing
RAQ42900.1,3917,KS-AT-DH-ER-KR-ACP-C-A-T-R,Hybrid PKS-NRPS
RAQ42730.1,1890,SAT-KS-AT-PT-ACP,PKS|Type I|Non-reducing
RAQ42388.1,419,KS,Thiolase
RAQ42048.1,1755,SAT-KS-AT-PT-ACP,PKS|Type I|Non-reducing
RAQ41714.1,688,SAT-KS,PKS
RAQ41711.1,833,KS,PKS
RAQ40903.1,2577,KS-AT-DH-MT-ER-KR-ACP,PKS|Type I|Highly-reducing
RAL17772.1,2475,KS-AT-DH-MT-ER-KR-ACP,PKS|Type I|Highly-reducing
RAL17561.1,419,KS,Thiolase
RAL16794.1,2287,SAT-KS-AT-PT-ACP-ACP-TR,PKS|Type I|Non-reducing
RAL16641.1,1692,SAT-KS-AT-PT-ACP-TE,PKS|Type I|Non-reducing
RAL16516.1,458,KS,Thiolase
RAL16412.1,419,KS,Thiolase
RAL16203.1,1784,SAT-KS-AT-PT-ACP,PKS|Type I|Non-reducing
RAL15649.1,413,KS,Thiolase
RAL15281.1,2561,KS-AT-DH-MT-ER-KR-ACP,PKS|Type I|Highly-reducing
RAL14312.1,2578,KS-AT-DH-MT-ER-KR-ACP,PKS|Type I|Highly-reducing
RAL14106.1,428,KS,Thiolase
RAL14074.1,323,KS,PKS
RAL13936.1,2902,KS-AT-DH-MT-ER-KR-ACP-TR,PKS|Type I|Highly-reducing
RAL13732.1,2460,KS-AT-DH-MT-ER-KR-ACP,PKS|Type I|Highly-reducing
RAL13374.1,1751,KS-AT-DH-KR-ACP,PKS|Type I|Partially-reducing
RAL13057.1,2324,KS-AT-DH-ER-KR-ACP,PKS|Type I|Highly-reducing
RAL13041.1,166,KS,PKS
RAL12642.1,2376,KS-AT-DH-ER-KR-ACP,PKS|Type I|Highly-reducing
RAL12469.1,2432,KS-AT-DH-MT-KR-ACP,PKS|Type I|Partially-reducing
RAL12385.1,1748,SAT-KS-AT-PT-ACP,PKS|Type I|Non-reducing
RAL12372.1,2415,KS-AT-DH-MT-ER-KR-ACP,PKS|Type I|Highly-reducing
RAL11872.1,2484,KS-AT-PT-ACP-MT-TR,PKS|Type I|Non-reducing
RAL11839.1,401,KS,PKS|Type III
RAL11483.1,3994,KS-AT-DH-MT-KR-ACP-C-A-T-R,Hybrid PKS-NRPS
RAL11121.1,419,KS,Thiolase
RAL10592.1,2493,KS-AT-DH-MT-KR-ACP,PKS|Type I|Partially-reducing
RAL09587.1,2639,SAT-KS-AT-PT-ACP-MT-TR,PKS|Type I|Non-reducing
RAL09155.1,2140,SAT-KS-AT-PT-ACP-ACP-TE,PKS|Type I|Non-reducing
RAL08959.1,3961,KS-AT-DH-MT-KR-ACP-C-A-T-R,Hybrid PKS-NRPS
RAL08735.1,2484,KS-AT-DH-MT-ER-KR-ACP,PKS|Type I|Highly-reducing
RAL08511.1,2551,KS-AT-DH-MT-ER-KR-ACP,PKS|Type I|Highly-reducing
RAL07848.1,3917,KS-AT-DH-MT-KR-ACP-C-A-T-R,Hybrid PKS-NRPS
RAL07612.1,2331,KS-AT-PT-ACP-ACP-MT-TR,PKS|Type I|Non-reducing
RAL07611.1,2188,KS-AT-DH-MT-KR-ACP,PKS|Type I|Partially-reducing
RAL07602.1,428,KS,Fatty acid synthase
RAL07484.1,399,KS,Thiolase
RAL07361.1,2478,KS-AT-DH-MT-KR-ACP,PKS|Type I|Partially-reducing
RAL07193.1,2005,KS-AT-PT-ACP-MT-TR,PKS|Type I|Non-reducing
RAL06966.1,105,KS,PKS
RAL06833.1,2552,KS-AT-DH-MT-ER-KR-ACP,PKS|Type I|Highly-reducing
RAL06443.1,2443,KS-AT-DH-MT-KR-ACP,PKS|Type I|Partially-reducing
RAL05733.1,458,KS,Thiolase
RAL05088.1,428,KS,Fatty acid synthase
RAL04853.1,2327,KS-AT-DH-MT-ER-KR-ACP,PKS|Type I|Highly-reducing
RAL04559.1,2426,KS-AT-DH-ER-KR-ACP,PKS|Type I|Highly-reducing
RAL03665.1,3968,KS-AT-DH-MT-KR-ACP-C-A-T-R,Hybrid PKS-NRPS
RAL03554.1,1650,KS-DH-MT-ER-KR-ACP,PKS
RAL03538.1,2801,SAT-KS-AT-PT-ACP-ACP-MT-TR,PKS|Type I|Non-reducing
RAL03184.1,2438,KS-AT-DH-MT-ER-KR-ACP,PKS|Type I|Highly-reducing
RAL02587.1,3978,KS-AT-DH-MT-KR-ACP-C-A-T-R,Hybrid PKS-NRPS
RAL02560.1,2471,KS-AT-DH-MT-ER-KR-ACP,PKS|Type I|Highly-reducing
RAL02511.1,2128,KS-AT-DH-ER-KR-ACP,PKS|Type I|Highly-reducing
RAL01937.1,2152,SAT-KS-AT-PT-ACP-ACP-TE,PKS|Type I|Non-reducing
RAL01504.1,399,KS,Thiolase
RAL00827.1,428,KS,Thiolase
RAL00155.1,2483,KS-AT-DH-MT-ER-KR-ACP,PKS|Type I|Highly-reducing
RAL00107.1,2119,SAT-KS-AT-PT-ACP-ACP-TE,PKS|Type I|Non-reducing
RAK99944.1,2545,KS-AT-DH-MT-ER-KR-ACP,PKS|Type I|Highly-reducing
RAK99719.1,413,KS,Thiolase
RAK99273.1,2331,KS-AT-DH-ER-KR-ACP,PKS|Type I|Highly-reducing
RAK99197.1,421,KS,Thiolase
RAK98996.1,2272,KS-AT-DH-ER-KR-ACP,PKS|Type I|Highly-reducing
RAK98984.1,2608,SAT-KS-AT-PT-ACP-ACP-MT-TE,PKS|Type I|Non-reducing
RAK98672.1,418,KS,Thiolase
RAK98501.1,3893,KS-AT-DH-ER-KR-ACP-C-A-T-R,Hybrid PKS-NRPS
RAK98120.1,3939,KS-AT-DH-MT-KR-ACP-C-A-T-R,Hybrid PKS-NRPS
RAK97656.1,419,KS,Thiolase
RAK97282.1,2524,SAT-KS-AT-PT-ACP-MT-TR,PKS|Type I|Non-reducing
RAK96953.1,1674,KS-AT-PT-ACP-TE,PKS|Type I|Non-reducing
RAK95950.1,2767,KS-AT-DH-MT-ACP-cAT,PKS|Type I|Partially-reducing
RAK95751.1,2605,KS-AT-DH-MT-ER-KR-ACP,PKS|Type I|Highly-reducing
RAK95573.1,4013,KS-AT-DH-MT-KR-ACP-C-A-T-R,Hybrid PKS-NRPS
RAK95330.1,3924,KS-AT-DH-ER-KR-ACP-C-A-T-R,Hybrid PKS-NRPS
RAK94427.1,2213,KS-AT-DH-ER-KR-ACP,PKS|Type I|Highly-reducing
RAK94403.1,2638,KS-AT-DH-MT-ER-KR-ACP,PKS|Type I|Highly-reducing
RAK94230.1,2126,SAT-KS-AT-PT-ACP-ACP-TE,PKS|Type I|Non-reducing
RAK94202.1,2458,KS-AT-DH-ER-KR-ACP,PKS|Type I|Highly-reducing
RAK93712.1,3934,KS-AT-DH-ER-KR-ACP-C-A-T-R,Hybrid PKS-NRPS
RAK93462.1,2577,KS-AT-DH-MT-ER-KR-ACP,PKS|Type I|Highly-reducing
RAK93035.1,421,KS,Thiolase
RAK92847.1,419,KS,Thiolase
RAK92602.1,2443,KS-AT-DH-MT-KR-ACP,PKS|Type I|Partially-reducing
RAK92405.1,2645,KS-AT-DH-MT-ER-KR-ACP,PKS|Type I|Highly-reducing
RAK91918.1,2384,KS-AT-DH-ER-KR-ACP,PKS|Type I|Highly-reducing
RAK91539.1,2463,KS-AT-DH-MT-ER-KR-ACP,PKS|Type I|Highly-reducing
RAK91537.1,2290,KS-AT-DH-ER-KR-ACP,PKS|Type I|Highly-reducing
RAK91348.1,399,KS,Thiolase
RAK90851.1,2589,KS-AT-PT-ACP-MT-TR,PKS|Type I|Non-reducing
RAK90795.1,2853,KS-AT-DH-MT-ER-KR-ACP-TR,PKS|Type I|Highly-reducing
RAK90785.1,2353,KS-AT-DH-MT-ER-KR-ACP,PKS|Type I|Highly-reducing
RAK90525.1,2411,KR-KS-AT-PT-ACP-ACP-MT-TE,PKS|Type I|Non-reducing
RAK90519.1,2488,KS-AT-DH-MT-ER-KR-ACP,PKS|Type I|Highly-reducing
RAK90355.1,2357,KS-AT-DH-ER-KR-ACP,PKS|Type I|Highly-reducing
RAK90183.1,3911,KS-AT-DH-MT-KR-ACP-C-A-T-R,Hybrid PKS-NRPS
RAK90117.1,1797,SAT-KS-AT-PT-ACP,PKS|Type I|Non-reducing
RAK89778.1,2471,KS-AT-DH-MT-ER-KR-ACP,PKS|Type I|Highly-reducing
RAK89718.1,2486,KS-AT-DH-MT-KR-ACP,PKS|Type I|Partially-reducing
RAK89607.1,2341,KS-AT-DH-ER-KR-ACP,PKS|Type I|Highly-reducing
RAK89112.1,2200,KS-AT-DH-ER-KR-ACP,PKS|Type I|Highly-reducing
RAK89091.1,2651,KR-KS-AT-PT-ACP-ACP-MT-TE,PKS|Type I|Non-reducing
RAK88870.1,1850,A-T-KS-AT-ACP,Hybrid PKS-NRPS
RAK88616.1,426,KS,Thiolase
RAK88588.1,3928,KS-AT-DH-MT-KR-ACP-C-A-T-R,Hybrid PKS-NRPS
RAK88539.1,1571,SAT-KS-AT-PT,PKS|Type I|Non-reducing
RAK88250.1,1647,SAT-KS-AT-PT-ACP,PKS|Type I|Non-reducing
RAK88206.1,2639,KS-AT-DH-MT-ER-KR-ACP,PKS|Type I|Highly-reducing
RAK88197.1,2465,KS-AT-DH-MT-ER-KR-ACP,PKS|Type I|Highly-reducing
RAK87891.1,413,KS,Thiolase
RAK87875.1,1824,SAT-KS-AT-PT-ACP,PKS|Type I|Non-reducing
RAK87550.1,246,KS,PKS
RAK87226.1,2567,KS-AT-DH-MT-ER-KR-ACP,PKS|Type I|Highly-reducing
RAK87199.1,2139,SAT-KS-AT-PT-ACP-ACP-TE,PKS|Type I|Non-reducing
RAK87116.1,2487,KS-AT-DH-MT-ER-KR-ACP,PKS|Type I|Highly-reducing
RAK87040.1,454,KS,Fatty acid synthase
RAK86450.1,2440,KS-AT-DH-MT-ER-KR-ACP,PKS|Type I|Highly-reducing
RAK85892.1,418,KS,Thiolase
RAK85777.1,2533,KS-AT-DH-MT-ER-KR-ACP,PKS|Type I|Highly-reducing
RAK85605.1,3494,KS-AT-DH-MT-KR-ACP-C-A-T,Hybrid PKS-NRPS
RAK85572.1,2501,KS-AT-DH-MT-ER-KR-ACP,PKS|Type I|Highly-reducing
RAK85213.1,2403,KS-AT-DH-ER-KR-ACP,PKS|Type I|Highly-reducing
RAK85039.1,2455,KS-AT-DH-MT-ER-KR-ACP,PKS|Type I|Highly-reducing
RAK84933.1,2227,KS-AT-DH-ER-KR-ACP,PKS|Type I|Highly-reducing
RAK84848.1,2459,KS-AT-DH-MT-ER-KR-ACP,PKS|Type I|Highly-reducing
RAK84317.1,2325,KS-AT-DH-ER-KR-ACP,PKS|Type I|Highly-reducing
RAK84168.1,2457,KS-AT-DH-MT-ER-KR-ACP,PKS|Type I|Highly-reducing
RAK83310.1,2353,KS-AT-DH-ER-KR-ACP,PKS|Type I|Highly-reducing
RAK83302.1,2506,KS-AT-DH-MT-ER-KR-ACP,PKS|Type I|Highly-reducing
RAK83161.1,458,KS,Thiolase
RAK82713.1,419,KS,Thiolase
RAK82226.1,2448,KS-AT-DH-MT-ER-KR-ACP,PKS|Type I|Highly-reducing
RAK82012.1,1754,KS-AT-DH-KR-ACP,PKS|Type I|Partially-reducing
RAK81976.1,2385,KS-AT-DH-ER-KR-ACP,PKS|Type I|Highly-reducing
RAK81607.1,3827,KS-AT-DH-MT-KR-ACP-C-A-T-R,Hybrid PKS-NRPS
RAK81592.1,2171,SAT-KS-AT-PT-ACP-ACP-TE,PKS|Type I|Non-reducing
RAK81554.1,3921,KS-AT-DH-MT-KR-ACP-C-A-T-R,Hybrid PKS-NRPS
RAK81411.1,2440,KS-AT-DH-MT-KR-ACP,PKS|Type I|Partially-reducing
